Timestamp,TagID,x(m),y(m),theta(rad),
2020-03-10T17:00:06.420456+00:00,42,0.367433,-0.467967,0.0770836,
2020-03-10T17:00:06.450792+00:00,42,0.3673,-0.46735,0.0752977,
2020-03-10T17:00:06.483764+00:00,42,0.367114,-0.466034,0.0720767,
2020-03-10T17:00:06.516348+00:00,42,0.367001,-0.465221,0.0736486,
2020-03-10T17:00:06.552858+00:00,42,0.366727,-0.464369,0.0770656,
2020-03-10T17:00:06.583044+00:00,42,0.366368,-0.462351,0.0815074,
2020-03-10T17:00:06.615907+00:00,42,0.366432,-0.461642,0.0845263,
2020-03-10T17:00:06.650836+00:00,42,0.366465,-0.460876,0.0838708,
2020-03-10T17:00:06.686919+00:00,42,0.366571,-0.460038,0.0826038,
2020-03-10T17:00:06.715640+00:00,42,0.366615,-0.458952,0.0822292,
2020-03-10T17:00:06.746898+00:00,42,0.36634,-0.456744,0.0749348,
2020-03-10T17:00:06.787670+00:00,42,0.366139,-0.455877,0.0774083,
2020-03-10T17:00:06.815584+00:00,42,0.366059,-0.454594,0.0780387,
2020-03-10T17:00:06.847977+00:00,42,0.366123,-0.453853,0.0790878,
2020-03-10T17:00:06.882480+00:00,42,0.366264,-0.453283,0.0777536,
2020-03-10T17:00:06.914816+00:00,42,0.366258,-0.452516,0.0810829,
2020-03-10T17:00:06.946634+00:00,42,0.366093,-0.451794,0.0799441,
2020-03-10T17:00:06.982511+00:00,42,0.365996,-0.450478,0.0770916,
2020-03-10T17:00:07.015465+00:00,42,0.366033,-0.44936,0.0770632,
2020-03-10T17:00:07.049715+00:00,42,0.365802,-0.448287,0.0786828,
2020-03-10T17:00:07.083052+00:00,42,0.365553,-0.446669,0.0846245,
2020-03-10T17:00:07.114836+00:00,42,0.36528,-0.446023,0.0856714,
2020-03-10T17:00:07.147430+00:00,42,0.365547,-0.44488,0.0888859,
2020-03-10T17:00:07.182710+00:00,42,0.365624,-0.443894,0.0847921,
2020-03-10T17:00:07.215948+00:00,42,0.3656,-0.442704,0.0782149,
2020-03-10T17:00:07.247372+00:00,42,0.365679,-0.441016,0.0769719,
2020-03-10T17:00:07.287340+00:00,42,0.365479,-0.440268,0.0788859,
2020-03-10T17:00:07.319599+00:00,42,0.365356,-0.439535,0.0797018,
2020-03-10T17:00:07.346418+00:00,42,0.364824,-0.438047,0.083659,
2020-03-10T17:00:07.382778+00:00,42,0.364824,-0.438047,0.083659,
2020-03-10T17:00:07.415379+00:00,42,0.364891,-0.436929,0.087218,
2020-03-10T17:00:07.446558+00:00,42,0.364903,-0.436383,0.0913126,
2020-03-10T17:00:07.484434+00:00,42,0.365155,-0.435121,0.0881833,
2020-03-10T17:00:07.518456+00:00,42,0.365152,-0.43397,0.0848184,
2020-03-10T17:00:07.546773+00:00,42,0.364513,-0.432034,0.0855195,
2020-03-10T17:00:07.582748+00:00,42,0.363947,-0.430706,0.0844881,
2020-03-10T17:00:07.616074+00:00,42,0.363701,-0.429745,0.0858051,
2020-03-10T17:00:07.648905+00:00,42,0.364101,-0.42858,0.0878108,
2020-03-10T17:00:07.685354+00:00,42,0.364451,-0.428127,0.0866918,
2020-03-10T17:00:07.715255+00:00,42,0.364598,-0.427212,0.0844036,
2020-03-10T17:00:07.748874+00:00,42,0.364531,-0.426113,0.0844908,
2020-03-10T17:00:07.786416+00:00,42,0.364174,-0.424897,0.0866211,
2020-03-10T17:00:07.815076+00:00,42,0.364128,-0.424029,0.0870351,
2020-03-10T17:00:07.849302+00:00,42,0.363156,-0.42244,0.0883053,
2020-03-10T17:00:07.880268+00:00,42,0.363095,-0.421602,0.0902471,
2020-03-10T17:00:07.915902+00:00,42,0.363129,-0.42085,0.0917736,
